iter	Passed	Remaining
409	4655	6699
410	4666	6686
411	4677	6675
412	4688	6664
413	4699	6652
414	4709	6639
415	4721	6627
416	4731	6615
417	4743	6604
418	4755	6594
419	4765	6581
420	4776	6568
421	4788	6558
422	4798	6546
423	4809	6533
424	4821	6523
425	4834	6513
426	4844	6501
427	4856	6490
428	4870	6482
429	4883	6472
430	4896	6464
431	4910	6456
432	4924	6448
433	4938	6440
434	4951	6430
435	4962	6419
436	4975	6409
437	4988	6401
438	5002	6392
439	5014	6382
440	5027	6372
441	5040	6362
442	5051	6351
443	5063	6340
444	5074	6328
445	5086	6317
446	5098	6306
447	5109	6295
448	5119	6283
449	5131	6271
450	5142	6259
451	5152	6247
452	5164	6235
453	5176	6225
454	5187	6213
455	5198	6201
456	5209	6190
457	5220	6178
458	5231	6166
459	5242	6154
460	5252	6141
461	5262	6128
462	5273	6116
463	5285	6105
464	5297	6095
465	5312	6087
466	5324	6076
467	5335	6065
468	5346	6053
469	5359	6043
470	5371	6033
471	5382	6021
472	5398	6014
473	5413	6006
474	5427	5998
475	5441	5990
476	5455	5981
477	5467	5970
478	5480	5960
479	5491	5949
480	5505	5940
481	5517	5929
482	5530	5919
483	5542	5909
484	5554	5898
485	5568	5889
486	5580	5878
487	5591	5866
488	5604	5856
489	5615	5844
490	5626	5832
491	5636	5820
492	5649	5809
493	5661	5798
494	5674	5788
495	5686	5778
496	5698	5767
497	5711	5756
498	5724	5746
499	5736	5736
500	5750	5727
501	5762	5716
502	5774	5705
503	5788	5696
504	5804	5689
505	5818	5680
506	5831	5670
507	5843	5658
508	5854	5647
509	5865	5635
510	5877	5624
511	5888	5612
512	5898	5599
513	5909	5587
514	5920	5576
515	5932	5564
516	5943	5552
517	5954	5540
518	5965	5528
519	5978	5518
520	5989	5506
521	6001	5495
522	6013	5484
523	6025	5473
524	6036	5461
525	6047	5449
526	6059	5438
527	6072	5428
528	6084	5417
529	6096	5406
530	6108	5395
531	6121	5385
532	6134	5374
533	6147	5364
534	6160	5354
535	6173	5344
536	6186	5333
537	6200	5324
538	6212	5313
539	6224	5302
540	6236	5290
541	6248	5279
542	6259	5268
543	6271	5257
544	6283	5245
545	6296	5235
546	6308	5224
547	6321	5214
548	6333	5202
549	6343	5190
550	6355	5179
551	6366	5167
552	6378	5155
553	6388	5142
554	6399	5131
555	6409	5118
556	6420	5106
557	6430	5093
558	6440	5080
559	6450	5068
560	6461	5055
561	6471	5043
562	6481	5031
563	6492	5018
564	6502	5006
565	6514	4994
566	6525	4982
567	6534	4970
568	6545	4958
569	6556	4945
570	6567	4934
571	6577	4921
572	6588	4909
573	6601	4899
574	6611	4886
575	6621	4874
576	6632	4862
577	6642	4849
578	6653	4838
579	6664	4826
580	6675	4814
581	6686	4802
582	6698	4791
583	6709	4779
584	6720	4767
585	6731	4755
586	6743	4744
587	6753	4731
588	6765	4720
589	6778	4710
590	6790	4699
591	6800	4687
592	6812	4675
593	6824	4664
594	6835	4652
595	6845	4640
596	6856	4628
597	6868	4617
598	6879	4605
599	6891	4594
600	6902	4582
601	6913	4570
602	6923	4558
603	6933	4545
604	6944	4533
605	6954	4521
606	6964	4509
607	6974	4496
608	6985	4485
609	6996	4473
610	7008	4462
611	7019	4450
612	7031	4438
613	7042	4427
614	7053	4415
615	7063	4403
616	7074	4391
617	7084	4379
618	7096	4367
619	7106	4355
620	7117	4343
621	7128	4332
622	7139	4320
623	7148	4307
624	7160	4296
625	7170	4283
626	7180	4271
627	7190	4259
628	7201	4247
629	7210	4234
630	7222	4223
631	7232	4211
632	7242	4199
633	7252	4186
634	7262	4174
635	7273	4162
636	7284	4150
637	7294	4138
638	7304	4126
639	7315	4114
640	7326	4103
641	7338	4092
642	7348	4080
643	7359	4068
644	7369	4056
645	7380	4044
646	7391	4032
647	7400	4020
648	7411	4008
649	7422	3996
650	7433	3985
